iso3v10,rowtot,orderincountry,url,nameraw,nametmp,nametmp2,nametmp3,nametmp4,countryraw,dateraw,typeraw,country,name,lat,lon,pop,date,note,type,ISOname,samplecountry
COM,423,1,http://www.citypopulation.de/gmaps/index.html?name=Djoi%C3%A8zi%20&y=-12.305139&x=43.774937&zoom=12&pop=2479&date=Population%20-%20E%202002-07-01%20&admin=null&country=Comoros&maptype=sat&lang=E,Djoi%C3%A8zi%20,Djoièzi ,Djoièzi ,Djoièzi ,Djoièzi ,Comoros,Population%20-%20E%202002-07-01%20,Population - E 2002-07-01,Comoros,Djoièzi,-12.305139,43.774937,2479,7/1/2002,,E,COMDjoièzi,0
COM,422,2,http://www.citypopulation.de/gmaps/index.html?name=Domoni&y=-12.261058&x=44.530937&zoom=12&pop=13254&date=Population%20-%20E%202002-07-01%20&admin=null&country=Comoros&maptype=sat&lang=E,Domoni,Domoni,Domoni,Domoni,Domoni,Comoros,Population%20-%20E%202002-07-01%20,Population - E 2002-07-01,Comoros,Domoni,-12.261058,44.530937,13254,7/1/2002,,E,COMDomoni,0
COM,421,3,http://www.citypopulation.de/gmaps/index.html?name=Fomboni&y=-12.28333&x=43.74172&zoom=12&pop=13053&date=Population%20-%20E%202002-07-01%20&admin=null&country=Comoros&maptype=sat&lang=E,Fomboni,Fomboni,Fomboni,Fomboni,Fomboni,Comoros,Population%20-%20E%202002-07-01%20,Population - E 2002-07-01,Comoros,Fomboni,-12.28333,43.74172,13053,7/1/2002,,E,COMFomboni,0
COM,420,4,http://www.citypopulation.de/gmaps/index.html?name=Foumbouni&y=-11.865192&x=43.493687&zoom=12&pop=4225&date=Population%20-%20E%202002-07-01%20&admin=null&country=Comoros&maptype=sat&lang=E,Foumbouni,Foumbouni,Foumbouni,Foumbouni,Foumbouni,Comoros,Population%20-%20E%202002-07-01%20,Population - E 2002-07-01,Comoros,Foumbouni,-11.865192,43.493687,4225,7/1/2002,,E,COMFoumbouni,0
COM,419,5,http://www.citypopulation.de/gmaps/index.html?name=Iconi&y=-11.744673&x=43.232136&zoom=12&pop=6989&date=Population%20-%20E%202002-07-01%20&admin=null&country=Comoros&maptype=sat&lang=E,Iconi,Iconi,Iconi,Iconi,Iconi,Comoros,Population%20-%20E%202002-07-01%20,Population - E 2002-07-01,Comoros,Iconi,-11.744673,43.232136,6989,7/1/2002,,E,COMIconi,0
COM,418,6,http://www.citypopulation.de/gmaps/index.html?name=Itsandra&y=-11.673461&x=43.266647&zoom=12&pop=2977&date=Population%20-%20E%202002-07-01%20&admin=null&country=Comoros&maptype=sat&lang=E,Itsandra,Itsandra,Itsandra,Itsandra,Itsandra,Comoros,Population%20-%20E%202002-07-01%20,Population - E 2002-07-01,Comoros,Itsandra,-11.673461,43.266647,2977,7/1/2002,,E,COMItsandra,0
COM,417,7,http://www.citypopulation.de/gmaps/index.html?name=Koimbani&y=-11.625906&x=43.36694&zoom=12&pop=2190&date=Population%20-%20E%202002-07-01%20&admin=null&country=Comoros&maptype=sat&lang=E,Koimbani,Koimbani,Koimbani,Koimbani,Koimbani,Comoros,Population%20-%20E%202002-07-01%20,Population - E 2002-07-01,Comoros,Koimbani,-11.625906,43.36694,2190,7/1/2002,,E,COMKoimbani,0
COM,416,8,http://www.citypopulation.de/gmaps/index.html?name=Mb%C3%A9ni%20&y=-11.505381&x=43.387196&zoom=12&pop=6124&date=Population%20-%20E%202002-07-01%20&admin=null&country=Comoros&maptype=sat&lang=E,Mb%C3%A9ni%20,Mbéni ,Mbéni ,Mbéni ,Mbéni ,Comoros,Population%20-%20E%202002-07-01%20,Population - E 2002-07-01,Comoros,Mbéni,-11.505381,43.387196,6124,7/1/2002,,E,COMMbéni,0
COM,415,9,http://www.citypopulation.de/gmaps/index.html?name=Mirontsi&y=-12.159122&x=44.40947&zoom=12&pop=9288&date=Population%20-%20E%202002-07-01%20&admin=null&country=Comoros&maptype=sat&lang=E,Mirontsi,Mirontsi,Mirontsi,Mirontsi,Mirontsi,Comoros,Population%20-%20E%202002-07-01%20,Population - E 2002-07-01,Comoros,Mirontsi,-12.159122,44.40947,9288,7/1/2002,,E,COMMirontsi,0
COM,414,10,http://www.citypopulation.de/gmaps/index.html?name=Mitsamiouli&y=-11.388492&x=43.293446&zoom=12&pop=5735&date=Population%20-%20E%202002-07-01%20&admin=null&country=Comoros&maptype=sat&lang=E,Mitsamiouli,Mitsamiouli,Mitsamiouli,Mitsamiouli,Mitsamiouli,Comoros,Population%20-%20E%202002-07-01%20,Population - E 2002-07-01,Comoros,Mitsamiouli,-11.388492,43.293446,5735,7/1/2002,,E,COMMitsamiouli,0
COM,413,11,http://www.citypopulation.de/gmaps/index.html?name=Mitsoudj%C3%A9&y=-11.812574&x=43.280018&zoom=12&pop=3966&date=Population%20-%20E%202002-07-01%20&admin=null&country=Comoros&maptype=sat&lang=E,Mitsoudj%C3%A9,Mitsoudjé,Mitsoudjé,Mitsoudjé,Mitsoudjé,Comoros,Population%20-%20E%202002-07-01%20,Population - E 2002-07-01,Comoros,Mitsoudjé,-11.812574,43.280018,3966,7/1/2002,,E,COMMitsoudjé,0
COM,412,12,http://www.citypopulation.de/gmaps/index.html?name=Moroni&y=-11.703741&x=43.251865&zoom=12&pop=40275&date=Population%20-%20E%202002-07-01%20&admin=null&country=Comoros&maptype=sat&lang=E,Moroni,Moroni,Moroni,Moroni,Moroni,Comoros,Population%20-%20E%202002-07-01%20,Population - E 2002-07-01,Comoros,Moroni,-11.703741,43.251865,40275,7/1/2002,,E,COMMoroni,0
COM,411,13,http://www.citypopulation.de/gmaps/index.html?name=Mr%C3%A9mani%20&y=-12.313322&x=44.498264&zoom=12&pop=4563&date=Population%20-%20E%202002-07-01%20&admin=null&country=Comoros&maptype=sat&lang=E,Mr%C3%A9mani%20,Mrémani ,Mrémani ,Mrémani ,Mrémani ,Comoros,Population%20-%20E%202002-07-01%20,Population - E 2002-07-01,Comoros,Mrémani,-12.313322,44.498264,4563,7/1/2002,,E,COMMrémani,0
COM,410,14,http://www.citypopulation.de/gmaps/index.html?name=Mutsamudu&y=-12.165903&x=44.39512&zoom=12&pop=21558&date=Population%20-%20E%202002-07-01%20&admin=null&country=Comoros&maptype=sat&lang=E,Mutsamudu,Mutsamudu,Mutsamudu,Mutsamudu,Mutsamudu,Comoros,Population%20-%20E%202002-07-01%20,Population - E 2002-07-01,Comoros,Mutsamudu,-12.165903,44.39512,21558,7/1/2002,,E,COMMutsamudu,0
