position;name;type;isnumeric;format;vallab;varlab
1;iso3v10;str3;0;%9s;;
2;agidison;long;1;%12.0g;;city ID
3;extent_agE;float;1;%9.0g;;10 - #modern industries
4;extent_agH;float;1;%9.0g;;14 - #all industries
5;year;float;1;%9.0g;;
6;rain30;float;1;%9.0g;;
7;cityavgrain1983_1991;float;1;%9.0g;;
8;rain30trim257;float;1;%9.0g;;
9;cityavgrain1983_1991trim257;float;1;%9.0g;;
10;todn;float;1;%9.0g;;
11;D_ag30;float;1;%9.0g;;1(ag/GDP>30)
12;natconflict;float;1;%9.0g;;1(national conflict)
13;cflcnt3;byte;1;%8.0g;;1(inside conflict)
14;cflcnt3_50;float;1;%9.0g;;1(outside conflict)
15;lat;float;1;%9.0g;;Latitude
16;lon;float;1;%9.0g;;Longitude
17;lnl1;float;1;%9.0g;;ln(lights)
18;dlnl1;float;1;%9.0g;;delta ln(lights)
19;lnrain30;float;1;%9.0g;;ln(rain) 30km
20;dlnrain30;float;1;%9.0g;;delta ln(rain(t))
21;extent_agE_dlnrain;float;1;%9.0g;;delta ln(rain(t))*(10 - #modern industries)
22;extent_agH_dlnrain;float;1;%9.0g;;delta ln(rain(t))*(14 - #all industries)
23;D_ag30_dlnrain;float;1;%9.0g;;delta ln(rain(t))*1(ag/GDP>30)
24;hirain;float;1;%9.0g;;
25;hirain_dlnrain;float;1;%9.0g;;delta ln(rain(t))*1(rain>median)
26;hirain_extent_agE_dlnrain;float;1;%9.0g;;
27;hirain_extent_agH_dlnrain;float;1;%9.0g;;delta ln(rain(t))*1(rain>median)*(14 - #all industries)
28;lnrain30trim257;float;1;%9.0g;;
29;dlnrain30trim257;float;1;%9.0g;;delta ln(rain(t))
30;extent_agE_dlnraintrim257;float;1;%9.0g;;delta ln(rain(t))*(10 - #modern industries)
31;extent_agH_dlnraintrim257;float;1;%9.0g;;delta ln(rain(t))*(14 - #all industries)
32;D_ag30_dlnraintrim257;float;1;%9.0g;;delta ln(rain(t))*1(ag/GDP>30)
33;hiraintrim257;float;1;%9.0g;;
34;hirain_dlnraintrim257;float;1;%9.0g;;
35;hirain_extent_agH_dlnraintrim257;float;1;%9.0g;;
36;Ldlnrain30;float;1;%9.0g;;delta ln(rain(t-1))
37;Lextent_agH_dlnrain;float;1;%9.0g;;delta ln(rain(t-1))*(14 - #all industries)
38;Fdlnrain30;float;1;%9.0g;;delta ln(rain(t+1))
39;Fextent_agH_dlnrain;float;1;%9.0g;;delta ln(rain(t+1))*(14 - #all industries)
40;Lnatconflict;float;1;%9.0g;;
41;Lcflcnt3;float;1;%9.0g;;
42;Lcflcnt3_50;float;1;%9.0g;;
43;dlnrain30natconflict;float;1;%9.0g;;delta ln(rain(t))*1(national conflict)
44;dlnrain30Lnatconflict;float;1;%9.0g;;
45;dlnrain30cflcnt3;float;1;%9.0g;;delta ln(rain(t))*1(inside conflict)
46;dlnrain30Lcflcnt3;float;1;%9.0g;;
47;dlnrain30cflcnt3_50;float;1;%9.0g;;delta ln(rain(t))*1(outside conflict)
48;dlnrain30Lcflcnt3_50;float;1;%9.0g;;
49;extent_agHnatconflict;float;1;%9.0g;;1(national conflict)*(14-#all ind.)
50;extent_agHLnatconflict;float;1;%9.0g;;
51;extent_agHcflcnt3;float;1;%9.0g;;1(inside conflict)*(14-#all ind.)
52;extent_agHLcflcnt3;float;1;%9.0g;;
53;extent_agHcflcnt3_50;float;1;%9.0g;;1(outside conflict)*(14-#all ind.)
54;extent_agHLcflcnt3_50;float;1;%9.0g;;
55;extent_agH_dlnrainnatconflict;float;1;%9.0g;;delta ln(rain(t))*1(national conflict)*(14-#all ind.)
56;extent_agH_dlnrainLnatconflict;float;1;%9.0g;;
57;extent_agH_dlnraincflcnt3;float;1;%9.0g;;delta ln(rain(t))*1(inside conflict)*(14-#all ind.)
58;extent_agH_dlnrainLcflcnt3;float;1;%9.0g;;
59;extent_agH_dlnraincflcnt3_50;float;1;%9.0g;;delta ln(rain(t))*1(outside conflict)*(14-#all ind.)
60;extent_agH_dlnrainLcflcnt3_50;float;1;%9.0g;;
